PatientID	Country	State	City	ZIP	Address
1	USA	TX	Baytown	77520	2011 Pulliam Street
2	USA	OH	Columbus	43230	1700 James Bowie Drive
3	USA	OH	Dayton	45404	349 Olde Ridenour Road
4	USA	OH	Boardman	44512	One Childrens Plaza
5	USA	OH	Dayton	45417	8049 South Avenue
6	USA	OK	Shawnee	74801	"One Elizabeth Place,E3 Suite A"
7	USA	OK	Coalgate	74538	"1900 Gordon Cooper Drive,2Nd Floor"
8	USA	ND	Minot	58701	6 North Covington Avenue
9	USA	NC	Danbury	27016	1 W Burdick Expy
10	USA	TX	Houston	77090	1570 Nc 8 & 89 Hwy North
11	USA	TX	Mcallen	78503	16750 Red Oak Dr
12	USA	ND	Fargo	58103	301 West Expressway 83
13	USA	TX	Jacksboro	76458	510 4Th Street South
14	USA	TX	Lubbock	79410	215 Chisholm Trail
15	USA	TX	The Woodlands	77386	004 North Beers Street
16	USA	TX	Corpus Christi	78404	25440 I 45 North
17	USA	TX	Corpus Christi	78410	600 Elizabeth Street
18	USA	TX	Big Lake	76932	13725 Northwest Blvd
19	USA	TX	Rockwall	75087	1300 N Main Ave
20	USA	TX	Keller	76248	"1975 Alpha,Suite 100"
21	USA	TX	Burleson	76028	"620 South Main,Suite 100"
22	USA	TX	Mansfield	76063	"12500 South Freeway,Suite 100"
23	USA	ND	Minot	58701	"1776 North Us 287,Suite 100"
24	USA	TX	Colleyville	76034	407 3Rd Street Southeast
25	USA	TX	Fort Worth	76177	5500 Colleyville Boulevard
26	USA	TX	Fort Worth	76109	3101 North Tarrant Parkway
27	USA	TX	San Angelo	76905	5400 Clearfork Main St
28	USA	TX	Victoria	77904	2018 Pulliam Street
29	USA	VA	Lynchburg	24501	101 Medical Drive
30	USA	VA	Mechanicsville	23116	1901 Tate Springs Road
31	USA	VA	Winchester	22601	8254 Atlee Road
32	USA	VA	Harrisonburg	22801	333 West Cork Street
33	USA	VA	Abingdon	24211	2010 Health Campus Drive
34	USA	VA	Woodstock	22664	16000 Johnston Memorial Drive
35	USA	WA	Seattle	98168	759 South Main Street
36	USA	TX	Decatur	76234	2600 Sw Holden Street
37	USA	NE	Norfolk	68701	609 Medical Center Dr
38	USA	NE	Nebraska City	68410	1700 North Victory Rd
39	USA	NE	Norfolk	68701	1301 Grundman Blvd
40	USA	NE	Norfolk	68701	2700 West Norfolk Ave
41	USA	NE	North Platte	69101	1500 Koenigstein Ave
42	USA	ND	Dickinson	58601	601 West Leota St
43	USA	ID	Boise	83702	2500 Fairway Street
44	USA	ID	Meridian	83642	600 N. Robbins Road
45	USA	ID	Boise	83712	520 S. Eagle Road
46	USA	ID	Meridian	83642	190 East Bannock Street
47	USA	NC	Monroe	28111	2131 South Bonito Way
48	USA	NC	Raleigh	27614	600 Hospital Drive
49	USA	IN	Fort Wayne	46805	10000 Falls Of Neuse Road
50	USA	ND	Grand Forks	58201	"2200 Randallia Drive,5Th Floor"
51	USA	ND	Cavalier	58220	4500 S Washington St
52	USA	ND	Fargo	58103	301 Mountain St E
53	USA	IN	Logansport	46947	5225 23Rd Ave S
54	USA	ND	Fargo	58122	1098 S Sr 25
55	USA	KS	St Marys	66536	736 Broadway
56	USA	KS	Iola	67701	206 Grand Ave
57	USA	ID	Ketchum	83340	3066 North Kentucky Street
58	USA	ID	Malad City	83252	100 Hospital Drive
59	USA	KS	Waverly	66871	150 North 200 West
60	USA	KS	Ransom	67572	128 S Pearson Ave
61	USA	TX	Galveston	77550	330 S Vermont Po Box 268
62	USA	TX	Greenville	76048	301 University Boulevard
63	USA	TX	Hamlin	76642	1310 Paluxy Road
64	USA	UT	Salt Lake City	84115	701 Mcclintic Dr.
65	USA	UT	Orem	84097	451 East Bishop Federal Lane
66	USA	UT	Blanding	84511	07 North Beers Street
67	USA	UT	Salt Lake City	84143	802 South 200 West
68	USA	OK	Tahlequah	74464	324 8Th Avenue
69	USA	OK	Lawton	73507	100 South Bliss Avenue
70	USA	NC	Raleigh	27610	1515 Lawrie Tatum Road
71	USA	KS	Kiowa	67070	3019 Falstaff Rd
72	USA	AK	Juneau	99801	1002 South 4Th Street
73	USA	TX	Houston	77074	3260 Hospital Drive
74	USA	MS	Choctaw	39350	7600 Beechnut Street
75	USA	OK	Ada	74820	210 Hospital Circle
76	USA	NM	Zuni	87327	1921 Stonecipher Blvd.
77	USA	TX	Houston	77065	Route 301 North “B” Street
78	USA	OK	Talihina	74571	10655 Steepletop Drive
79	USA	OK	Claremore	74017	One Choctaw Way
80	USA	SD	Rosebud	57570	101 S Moore Avenue (South Moore & Will Rogers Blvd)
81	USA	SD	Pine Ridge	57770	"Bia Route 1, Solder Creek Road"
82	USA	NE	Winnebago	68071	Hwy 18 East
83	USA	MT	Browning	59417	Us Highway 77-75
84	USA	KS	Fort Riley	66442	760 Hospital Circle
85	USA	SC	Beaufort	29902	600 Caisson Hill Rd
86	USA	AK	Fort Wainwright	99703	1 Pinckney Blvd
87	USA	VA	Portsmouth	23708	4076 Neely Rd
88	USA	NV	Nellis Afb	89191	620 John Paul Jones Circle
89	USA	FL	Pensacola	32512	4700 Las Vegas Blvd N
90	USA	OH	Wright Patterson Afb	45433	6000 West Highway 98
91	USA	OK	Fort Sill	73503	4881 Sugar Maple Dr
92	USA	VA	Fort Belvoir	22060	4301 Wilson St
93	USA	SC	Fort Jackson	29206	9300 Dewitt Loop
94	USA	MO	Fort Leonard Wood	65473	4500 Stuart St
95	USA	NC	Garner	27529	126 Missouri Ave
96	USA	TX	Arlington	76011	3200 Waterfield Road
97	USA	AK	Anchorage	99504	1000 North Cooper Street
98	USA	CT	Newington	6111	1201 N Muldoon Rd
99	USA	FL	Tampa	33637	555 Willard Ave
100	USA	IN	Fort Wayne	46805	13515 Lake Terrace Lane
101	USA	KS	Wichita	67218	2121 Lake Ave
102	USA	IN	Indianapolis	46202	5500 E Kellogg Ave
103	USA	IN	Marion	46953	1481 W 10Th St
104	USA	MA	Brockton	2401	1700 E 38Th St
105	USA	MA	Northampton	1062	940 Belmont St
106	USA	MA	West Roxbury	2132	421 N Main St
107	USA	IL	North Chicago	60064	1400 Vfw Pky
108	USA	NC	Raleigh	27610	3001 Green Bay Rd
109	USA	KS	Topeka	66622	111 Sunnybrook Road
110	USA	KS	Leavenworth	66048	2200 Sw Gage Blvd
111	USA	NJ	Paterson	7503	47 North Beers Street
112	USA	TX	Houston	77030	703 Main Street
113	USA	TX	Littlefield	79339	6441 Main Street
114	USA	NJ	Holmdel	7733	1500 South Sunset Avenue
115	USA	MO	Kansas City	64128	727 North Beers Street
116	USA	NH	Manchester	3104	4801 Linwood Blvd
117	USA	NM	Albuquerque	87108	718 Smyth Rd
118	USA	NJ	Lyons	7939	1501 San Pedro Se
119	USA	NE	Omaha	68105	151 Knollcroft Rd
120	USA	NJ	Secaucus	7094	4101 Woolworth Ave
121	USA	MI	Saginaw	48602	55 Meadowlands Parkway
122	USA	MS	Jackson	39216	1500 Weiss St
123	USA	NJ	Atlantic City	8401	1500 E Woodrow Wilson Dr
124	USA	SD	Fort Meade	57741	20 South Tennessee Avenue
125	PRI	PR	San Juan	921	98 Bustamante Street
126	USA	VT	White River Junction	5009	10 Casia St
127	USA	OH	Columbus	43219	163 Veterans Dr
128	USA	MS	Biloxi	39531	420 N James Rd
129	USA	MT	Fort Harrison	59636	400 Veterans Ave
130	USA	MN	Rochester	55902	3687 Veterans Dr
131	USA	MN	Virginia	55792	201 West Center St
132	USA	KS	Lenexa	66227	901 9Th St N
133	USA	IL	Plainfield	60585	23401 Prairie Star Pkwy
134	USA	NE	Beatrice	68310	24600 W 127Th St
135	USA	KS	Wichita	67218	4800 Hospital Pkwy
136	USA	NV	Las Vegas	89113	3600 E Harry St
137	USA	VA	Richmond	23225	8280 West Warm Springs Road
138	USA	WY	Cheyenne	82001	1201 Broad Rock Blvd
139	USA	UT	Salt Lake City	84148	2360 E Pershing Blvd
140	USA	WA	Vancouver	98661	500 Foothill Dr
141	USA	KS	Parsons	67357	1601 E 4Th Plain Blvd
142	USA	OH	Middletown	45044	2601 Gabriel Avenue
143	USA	TN	Memphis	38119	7777 Yankee Rd
144	USA	MS	Canton	39046	5959 Park Ave
145	USA	OK	Edmond	73034	161 River Oaks Dr
146	USA	OK	Norman	73072	1 S Bryant Ave
147	USA	TX	Amarillo	79124	3300 Healthplex Pkwy
148	USA	IN	Indianapolis	46202	5601 Plum Creek Drive
149	USA	IN	Indianapolis	46202	550 University Blvd
150	USA	OH	Columbus	43213	705 Riley Hospital Dr
151	USA	OH	Dayton	45459	6001 E Broad St
152	USA	OH	Steubenville	43952	1997 Miamisburg Centerville Rd
153	USA	OH	Boardman	44512	4000 Johnson Rd
154	USA	TX	Amarillo	79106	6505 Market St
155	USA	OH	Lebanon	45036	7501 Wallace Blvd
156	USA	IN	Merrillville	46410	305 Bustamante Street
157	USA	TX	Monahans	79756	8701 Broadway
158	USA	TX	Abilene	79601	406 South Gary Street
159	USA	TX	Austin	78745	"1900 Pine,7Th Floor"
160	USA	TX	Austin	78756	"1106 West Dittmar Road,Building 9"
161	USA	TX	Beaumont	77702	4207 Burnet Road
162	USA	TX	Beaumont	77701	"2830 Calder Avenue,4Th Floor"
163	USA	TX	Carrollton	75010	860 South 8Th Street
164	USA	NJ	Union	7083	2329 Parker Road
165	USA	TX	Channelview	77530	1000 Galloping Hill Rd
166	USA	TX	Conroe	76208	15101 East Freeway
167	USA	TX	Corinth	78465	1500 Grand Lake Drive
168	USA	ID	Eagle	83616	3305 Corinth Parkway
169	USA	WA	Port Angeles	98362	323 E Riverside Dr
170	USA	TX	Quitman	75783	939 Caroline St
171	USA	TX	Quanah	79252	117 Winnsboro Street
172	USA	TX	Round Rock	78681	402 Mercer Street
173	USA	TX	Rockwall	75032	2400 Round Rock Avenue
174	USA	TX	Corpus Christi	78413	3150 Horizon Road
175	USA	TX	San Antonio	78223	"600 Elizabeth Street,Third Floor"
176	USA	TX	Dallas	75204	2303 Southeast Military Drive
177	USA	TX	Dallas	75235	3504 Swiss Avenue
178	USA	TX	Dallas	75231	1950 Record Crossing Road
179	USA	TX	Denton	76208	"8050 Meadow Road,First Floor"
180	USA	TX	El Paso	79902	2813 South Mayhill Road
181	USA	TX	Seminole	79360	2311 North Oregon Street
182	USA	TX	Shamrock	79079	209 Northwest 8Th Street
183	USA	TX	El Paso	79902	1000 South Main Street
184	USA	TX	El Paso	79902	1740 Curie Drive
185	USA	TX	Fort Worth	76132	"1221 North Cotton,Third Floor"
186	USA	TX	Fort Worth	76104	6201 Overton Ridge Boulevard
187	USA	TX	Fort Worth	76132	"1301 Pennsylvania Avenue,4Th Floor"
188	USA	TX	Fort Worth	76104	7800 Oakmont Boulevard
189	USA	TX	Fort Worth	76132	815 Eighth Avenue
190	USA	TX	Spearman	79081	6801 Oakmont Boulevard
191	USA	TX	Sherman	75090	707 South Roland Street
192	USA	TX	Taylor	76574	3601 North Calais Street
193	USA	TX	Sulphur Springs	75483	305 Mallard Lane
194	USA	TX	Sweetwater	79556	115 Airport Road
195	USA	TX	Harlingen	78550	200 East Arizona Avenue
196	USA	TX	Tyler	75708	508 Victoria Lane
197	USA	TX	Houston	77065	11937 Highway 271 North
198	USA	TX	Houston	77087	205 Bustamante Street
199	USA	TX	Houston	77004	6160 South Loop East
200	USA	TX	Humble	77338	1300 Binz Street
201	USA	TX	Katy	77450	19211 Mckay Drive
202	USA	TX	Waco	76708	701 South Fry
203	USA	TX	Laredo	78041	3000 Herring Avenue
204	USA	TX	Lubbock	79410	2005 Bustamante Street
205	USA	TX	Lufkin	75904	3815 20Th Street
206	USA	TX	Luling	78648	"1201 West Frank Avenue,Suite 5D"
207	USA	TX	Mansfield	76063	200 Memorial Drive
208	USA	TX	Mcallen	78503	1802 Highway 157 North
209	USA	TX	Mesquite	75149	"301 West Expressway 83,8Th Floor"
210	USA	TX	Wichita Falls	76301	1024 North Galloway Avenue
211	USA	TX	Midland	79706	1600 11Th Street
212	USA	TX	New Braunfels	78130	207 Tradewinds Boulevard
213	USA	TX	Nederland	77627	1445 Hanz Drive
214	USA	TX	Paris	75460	2600 Highway 365
215	USA	TX	Pasadena	77505	820 Clarksville Street
216	USA	TX	Plano	75075	4801 East Sam Houston Parkway South
217	USA	TX	Plano	75024	1621 Coit Road
218	USA	TX	San Antonio	78229	6800 Preston Road
219	USA	TX	San Antonio	78205	3636 Medical Drive
220	USA	TX	Shenandoah	77384	"111 Dallas Street,4Th Floor"
221	USA	TX	Sherman	75092	123 Vision Park Drive
222	USA	TX	Sugar Land	77479	"1810 U.S. Highway 82 West,Ste 200"
223	USA	TX	Stafford	77477	1550 First Colony Boulevard
224	USA	TX	Tyler	75711	11929  West Airport Boulevard
225	USA	TX	Tyler	75701	"1000 South Beckham Avenue,5Th Floor"
226	USA	TX	Victoria	77901	"800 East Dawson,4Th Floor"
227	USA	TX	Victoria	77904	"506 East San Antonio Street,3Rd Fl"
228	USA	TX	Webster	77598	102 Medical Drive
229	USA	TX	Dallas	75235	709 Medical Center Boulevard
230	USA	TX	Dallas	75235	"6161 Harry Hines Boulevard,Suite 100"
231	USA	TX	Dallas	75218	7955 Harry Hines Boulevard
232	USA	TX	El Paso	79905	"9440 Poppy Drive,5Th Floor South"
233	USA	TX	Southlake	76092	4845 Alameda Avenue
234	USA	TX	Midland	79703	421 East Highway 114
235	USA	TX	Houston	77004	"4214 Andrews Highway,Suite 320"
236	USA	TX	Houston	77076	"2001 Hermann Drive,Suite 100"
237	USA	TX	Temple	76502	7407 North Freeway
238	USA	TX	De Soto	75115	31 S Alameda St
239	USA	TX	Texarkana	75501	2700 Walker Way
240	USA	TX	Brownsville	78520	"1000 Pine Street,6Th Floor"
241	USA	TX	Dallas	75246	333 Lorenaly Drive
242	USA	TX	Garland	75042	"3500 Gaston Avenue,3Rd And 4Th Floor"
243	USA	TX	Richardson	75080	"2300 Marie Curie,3W & 3E Floors"
244	USA	TX	Denton	76208	"401 West Campbell Road,Suite 300"
245	USA	TX	Paris	75461	"2813 South Mayhill Road,2Nd Floor"
246	USA	TX	Spring	77379	865 Deshong Drive
247	USA	NV	Las Vagas	89139	20635 Kuykendahl Road
248	USA	TX	Odessa	79761	4855 Blue Diamond Road
